concatenated,parisian_keyword
"Pseudo Place of publication unknown Cour (la), fables allegoriques: ouvrage traduit de l'Allemand  Fables de la cour Der Hof in Fabeln German French NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition not identified, extant editions located published (Erlang, 1763) and (Erlang, 1768). Cour (la), fables allegoriques  ",Belles-Lettres
"Certain Other Swiss editions Essai d'une nouvelle méthode pour enseigner la jeunesse à mettre facilement en usage dans la composition les règles de la syntaxe latine ...   Methode de Poitevin; Méthode de Poitevin; Méthode latine; méthode latine de Poitevin NA NA French J.-C. Sievert NA Lausanne Lausanne 1759 NA IV, 374 380 1 NA 8 NA NA Attribution - only extant edition located. Essai d'une nouvelle méthode pour enseigner la jeunesse à mettre facilement en usage dans la composition les règles de la syntaxe latine  ",Belles-Lettres
"Pseudo Place of publication unknown Lexicon manuale graeco-latinum et latino-graecum Manuale greco latinum NA NA Greek, Latin NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition not identified, numerous produced. Lexicon manuale graeco-latinum  ",Belles-Lettres
"Pseudo Place of publication unknown Oeuvres de Jean-Baptiste Rousseau Oeuvres de J.B. Rousseau NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition(s) not identified, several produced. Oeuvres de Jean-Baptiste Rousseau  ",Belles-Lettres
"Pseudo Place of publication unknown Usong: Eine morgenländische Geschichte  Usong en allemand NA NA German NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition not identified, several produced. Usong, histoire orientale  ",Belles-Lettres
"Pseudo Place of publication unknown Orlando furioso Orlando furioso; Orlando furioso Italien NA NA Italian NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - editions not identified, numerous produced. Roland furieux  ",Belles-Lettres
Pseudo Place of publication unknown [Chefs d'oeuvres dramatiques] Chef d'oeuvres dramatiques NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - work not identified. [Chefs d'oeuvres dramatiques]  ,Belles-Lettres
"Pseudo Place of publication unknown Regia Parnassi seu palatium Musarum, in quo synonima, epitheta, periphrases, et phrases poëticae ... ordine alphabetico continentur Regia parnassi NA NA Latin NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition not identified, numerous produced. Regia Parnassi  ",Belles-Lettres
Certain Other Swiss editions Vermischte Schriften Lavater vermichte schriften NA NA German Heinrich Steiner und Comp NA Winterthur Winterthur 1774 NA NA NA 1 NA 8 NA NA Attribution - sourced from Steiner in 1774. Only extant edition located. Vermischte Schriften  ,Belles-Lettres
"Certain Other Swiss editions Dictionnaire abrégé pour l'intelligence des auteurs classiques, grecs et latins: contenant la géographie, l'histoire, la fable, et les antiquités, tiré du grand Dictionnaire de M. Sabbathier  Dictionnaire des auteurs classiques NA NA French NA F.-B. de Felice Yverdon Yverdon 1772-1775 NA NA NA 1 NA NA NA NA Attribution - only extant edition located. The work was in 9 volumes by 1775, when production stopped, although it is unclear from the STN manuscripts which volumes they traded in their various transactions. Dictionnaire abrégé pour l'intelligence des auteurs classiques, grecs et latins  ",Belles-Lettres
"Pseudo Place of publication unknown Essai sur l'homme: poëme philosophique en cinq langues savoir, anglois, latin, italien, françois et allemand Essai sur l'home en 5. langues Essay on man English English, French, German, Italian, Latin NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition not identifed, editions published in 1762 and 1772. STN probably traded in the latter of these as it was published by a regular STN client, A. König, in Strasbourg, but this is not certain from manuscript information. Essai sur l'homme  ",Belles-Lettres
"Pseudo Place of publication unknown Quinti Horatii Flacci Opera 1464; Horatius; Oratius NA NA Latin NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition(s) not identified, several produced.  Superbook attribution uncertain - manuscript information gives only 'Horatius'. However, Fauche-Borel Catalogue (1787) suggests this was (Parisiis, 1770) edition, but it is not clear whether all sales this edition or work. Quinti Horatii Flacci Opera  ",Belles-Lettres
Certain German editions Gazette universelle de littérature ou Gazette des Deux-Ponts [1774 & 1775] Gazette litteraire; Gazette litteraire de 1774 & 1775 NA NA French NA NA Zweibrücken Zweibrücken 1774-1775 NA NA NA 1 NA NA NA NA Attribution - periodical. Gazette universelle de littérature ou Gazette des Deux-Ponts [1774 & 1775]  ,Belles-Lettres
"Pseudo French editions Histoire anecdotique et raisonnée du théâtre italien, depuis son rétablissement en France jusqu'à l'année 1769, contenant les analyses des principales pièces, et un catalogue de toutes celles tant italiennes que françaises, données, sur ce théâtre Histoire du Théatre Italien; Théatre Italien NA NA French NA NA Paris Paris NA NA NA NA 7 NA 12 NA NA Attribution - edition not identified, extant editions located (Paris, 1769) and (Paris, 1770). Histoire anecdotique et raisonnée du théâtre italien  ",Belles-Lettres
"Certain International editions (non-Swiss) Lettre et seconde lettre de M. Midy... à M. Panckoucke, imprimeur du ""Grand vocabulaire françois"" Lettres de M. Midy.; Première & 2e lettre de M. Midy NA NA French Libraires associés; Moulard NA Amsterdam; Paris Amsterdam; Paris 1767-1768 NA IV, 70; IV, 371 449 1 NA 8 NA NA Attribution - only extant edtion located, MS information confirms STN traded in both of these 'lettres' which were often sold separately. Lettre et seconde lettre de M. Midy,... à M. Panckoucke  ",Belles-Lettres
"Pseudo Place of publication unknown [Rudiments de la grammaire grecque] Rudiments de la grammaire grecque NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - work not identified. Possibly 'Rudiments de la langue grecque, Composez a l'usage des classes Inferieures', although the low survival rate of text books means positive identification cannot be made. [Rudiments de la grammaire grecque]  ",Belles-Lettres
"Pseudo Place of publication unknown Beyträge zur Geschichte der teutschen Sprache Beyträge zur Geschichte; Meisters Beytrage NA NA German NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition not identified, several produced. Beyträge zur Geschichte der teutschen Sprache  ",Belles-Lettres
"Pseudo Place of publication unknown Sophiens Reise von Memel nach Sachsen Sophiens Reisen NA NA German NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition not identified, numerous produced. Sophiens Reise von Memel nach Sachsen  ",Belles-Lettres
Probable German editions Die Regierung George des Sechsten: Aus dem Englischen Regierung Georg der sexten; Regierung Georg des Sechten The reign of George VI English German NA NA Leipzig Leipzig 1776 NA NA NA 1 NA NA NA NA Attribution - sourced from Germany in May 1776. Die Regierung George des Sechsten  ,Belles-Lettres
Pseudo Place of publication unknown Théâtre Allemand Théatre de Gebler [Various works] German French NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition not identified. Théâtre Allemand  ,Belles-Lettres
"Pseudo Place of publication unknown Shakespear/ Théatre de Shakespear 1251; 1640; Shakespear; Théatre de Shakespéare [Various titles] English French NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition(s) not identified. Fauche-Borel Catalogue (1787) gives (Paris, 1782) vols 17 & 18. Then (no. 1640) 'Shakespear', 20 vols (1778), in-8°. Shakespear/Théatre de Shakespear  ",Belles-Lettres
"Pseudo Place of publication unknown Kinderfreund (der) ein Wochenblatt Kinderfreund NA NA German NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - periodical, volumes traded in not identified. Kinderfreund (der) ein Wochenblatt  ",Belles-Lettres
Certain German editions Reisen zu den Tempeln der Christen und ihren Priestern Reisen zu den Templen NA NA German NA NA Offenbach Offenbach 1776 NA NA NA 1 NA NA NA NA Attribution - only extant edition located.  N.B. a second volume was added in 1777. Reisen zu den Tempeln der Christen und ihren Priestern  ,Belles-Lettres
"Pseudo Place of publication unknown Edelknabe (Der) Der Edelknab; Der Endel Knaben NA NA German NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition not identified, several produced. Edelknabe (Der)  ",Belles-Lettres
"Certain French editions Précis de l'histoire de France, en vers, avec des notes, où l'on développe ce que les vers ne font qu'indiquer  Précis de l'histoire de France NA NA French Vve Duchesne NA Paris Paris 1776 NA 418 418 1 NA 8 NA NA Attribution - sourced from Paris in 1776. Précis de l'histoire de France  ",Belles-Lettres
Pseudo Place of publication unknown Histoire de la poésie espagnole Histoire de la poesie Espagnole Orígenes de la poesía castellana Spanish French NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - manuscript information gives 'Velasquez sur la poesie espagnole' (Bauer dossier f.19) and 'Histoire de la poesie espagnole'. However a French translation of Valasquez's work from this period has not been located. Histoire de la poésie espagnole  ,Belles-Lettres
"Probable French editions Dictionnaire françois, latin et italien, contenant non seullment un abregé du dictionnaire de l'Académie mais encore tout ce qu'il y a de plus remarquable dans les meilleurs lexicographes  Dictionnaire d'Antonini NA NA French Pierre Duplain NA Lyon Lyons NA NA NA NA 2 NA 4 NA NA Attribution - STN Catalogue 1779 gives 2 volumes in-4°, which indicates the Duplain printings of this work, either from the early 1760s, or more likely the 1770 edition. Dictionnaire françois, latin et italien  ",Belles-Lettres
"Pseudo French editions Malheureux (le) imaginaire, comédie en 5 actes, en vers, par M. Dorat Malheureux (le) imaginaire; Malheureux imaginaire NA NA French NA NA Paris Paris 1777 NA NA NA 1 NA NA NA NA Attribution - sourced from Paris in 1777, although several editions of this play published there that year. Malheureux (le) imaginaire  ",Belles-Lettres
"Pseudo Place of publication unknown Der Tod Abels Poeme d'Abel en allemand NA NA German NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition not identified, several produced. Mort (la) d'Abel  ",Belles-Lettres
"Pseudo Place of publication unknown Nouveau dictionnaire allemand-françois et françois-allemand, à l'usage des deux nations 310; Dictionnaire allemand et français; Dictionnaire des 2 nations; Dictionnaire françois & allemand NA NA French, German NA NA n.pl. ? NA NA NA NA 2 NA NA NA NA Attribution -  editions not identified. STN traded in the (Strasbourg, 1762) in-8° edition published by König, the (Strasbourg, 1782) in-4° edition and possibly others. It has not always been possible from STN manuscripts to isolate which transactions relate to which editions.   Nouveau dictionnaire allemand-françois et françois-allemand  ",Belles-Lettres
"Certain German editions Oratorum graecorum, quorum princeps est Demosthenes, quae supersunt monumenta ingenii, e bonis libris a se emendata, materia critica, commentariis integris, Hieron. Wolfii, Io. Taylori, Ierem. Marklandi, aliorum, et suis, indicibus denique instructa edidit Ioannes Iacobus Reiske Reiske oratoras graeci NA NA Latin W. G. Sommeri NA Leipzig Leipzig 1770-1775 NA NA NA 12 NA 8 NA NA Attribution - manuscript information. Oratorum graecorum  ",Belles-Lettres
"Certain German editions Nouvelles (les) d'Antoine-François Grazzini, dit le Lasca Nouvelles de Grazini [Various titles] Italian French NA NA Berlin Berlin 1776 NA XXVIII, 583 611 1 2 8 NA NA Attribution - only extant edition located. Nouvelles (les) d'Antoine-François Grazzini  ",Belles-Lettres
"Certain French editions Prôneurs (les), ou le Tartuffe littéraire comédie Proneurs (les) NA NA French Delalain NA Hollande Paris 1777 NA VIII, 87 95 1 NA 8 NA NA Attribution - sourced from Paris in 1777 with other 'nouveautés'. Prôneurs (les), ou le Tartuffe littéraire comédie  ",Belles-Lettres
"Certain French editions Epître de Pierre Bagnolet, citoyen de Gonesse, aux grands hommes du jour Epitre de Pierre Bagnotel par Dorat NA NA French NA NA Paris Paris 1777 NA 10 10 1 NA 8 NA NA Attribution - sourced from Paris in 1777, only extant edition located. Epître de Pierre Bagnolet  ",Belles-Lettres
"Certain French editions Faux Ibrahim, conte arabe, et le Rêve impatientant, conte françois, suivis des Réformes de l'amour et précédés de quelques réflexions sur Montesquieu Fause (le) Ibrahim par le même; Faux Ibrahim NA NA French Delalain NA Paris Paris 1777 NA 38 38 1 NA 8 NA NA Attribution - only extant edition located, sourced from Paris in year of publication. Faux Ibrahim  ",Belles-Lettres
"Pseudo Italian editions Choix économique et moral Choix de Teron NA NA French Téron l'aîné NA Chambéry Chambéry 1777 NA NA NA 1 NA NA NA NA Attribution - periodical, unidentified volumes. Choix économique et moral  ",Belles-Lettres
"Certain French editions Milord d'Ambi, histoire anglaise par Mme Beccary, auteur des Lettres de Lucie d'Olbery Milord Damby NA NA French Gauguery NA Paris Paris 1778 NA XI, 228 239 1 2 12 NA NA Attribution - sourced from Paris in 1778, only extant edition at time STN traded in work. Milord d'Ambi, histoire anglaise par Mme Beccary  ",Belles-Lettres
"Certain International editions (non-Swiss) Lettres de mademoiselle de Boismiran, recueillies et publiées par Madame de *** Lettres de Boimiran NA NA French Moutard NA Amsterdam; Paris Amsterdam; Paris 1777 NA [4]-159; [4]-123; [4]-124; [4]-142  548 2 4 12 NA NA Attribution - sourced from Paris in 1778. Lettres de mademoiselle de Boismiran  ",Belles-Lettres
"Pseudo Place of publication unknown Nouvelles lettres angloises, ou Histoire du chevalier Grandisson 608; Grandisson; Histoire de Grandisson The History of Sir Charles Grandison English French NA NA n.pl. ? NA NA NA NA 1 NA NA 80 50 received from Regnault April 1777 Attribution - edition(s) not identified, numerous produced. MS1007 gives in two volumes, Fauche-Borel Catalogue (1787) gives (Amsterdam, 1786) in-12°,  in 8 volumes, STN sourced work from several places and possibly traded in other editions too. It has not always been possible from STN manuscripts to isolate which transactions relate to which editions. Nouvelles lettres angloises, ou Histoire du chevalier Grandisson  ",Belles-Lettres
"Certain German editions Nouvelle et parfaite grammaire royale françoise et allemande 548; Grammaire de Peuplier NA NA French, German Haude & Spener NA Berlin Berlin 1781 NA 522, 96 618 1 NA 8 30 NA Attribution - Fauche-Borel Catalogue (1787) information. Nouvelle et parfaite grammaire royale françoise et allemande  ",Belles-Lettres
"Certain French editions Bibliographie instructive, ou Notice de quelques livres rares, singuliers & difficiles à trouver, avec des notes historiques, pour connoître & distinguer les différentes editions, & leur valeur dans le commerce; disposée par François de Los Rios, libraire à Lyon 124; Bibliographie; Bibliographie instructive NA NA French l'auteur NA Lyon Lyons 1777 1776 XVI, 207 223 1 NA 8 14.5 NA Attribution - sourced from the author in Lyon, Fauche-Borel Catalogue (1787) information. Bibliographie instructive  ",Belles-Lettres
"Certain French editions Oeuvres de Monsieur de La Fosse 1000; Oeuvres de la fosse; Oeuvres de M. de la Fosse NA NA French Compagnie des Libraires NA Paris Paris 1755 NA NA NA 2 NA 12 NA NA Attribution - catalogue and MS1007 information.  Contents - volume 1. Polixene, tragédie; Manlius, capitolinus, tragédie; Thesée, tragédie; Gabinie, tragédie chrétienne, volume 2. Le distrait, comédie; Coresus et Calirrhoé, tragédie; Les odes d'Anacréon; Poésies. Oeuvres de Monsieur de La Fosse  ",Belles-Lettres
Certain Dutch editions Génie (le) de la langue: extrait du dictionnaire de l'Académie Françoise de la IVme édition 1762 et des meilleurs auteurs Génie de la langue; Génie de la langue françoise; Génie de la langue françoise par Bullot NA NA French La Compagnie NA Amsterdam Amsterdam 1764 NA 408; 446 854 2 NA 8 52.5 NA Attribution - MS1007 and STN Catalogue information. Génie (le) de la langue  ,Belles-Lettres
"Pseudo Place of publication unknown Recueil des meilleures pièces dramatiques faites en France depuis Rotrou jusqu'à nos jours, ou le Théâtre français Théatre françois NA NA French NA NA n.pl. ? 1769 NA NA NA 14 NA 8 358 May also be an 8 volume edition Attribution - edition details not resolved. Théatre françois  ",Belles-Lettres
"Certain Other Swiss editions Epitres, satires, contes, odes, et pieces fugitives, du poëte philosophe, dont plusieurs n'ont point encore paru: enrichies de notes curieuses et intéressantes 408; Epitres & satyres; Epitres, contes & Satyres NA NA French François Grasset NA London Lausanne 1771 NA VIII, 448 456 1 NA 8 29 NA Attribution - primarily sourced from Grasset, who only produced one edition of this work according to Biblios 18. Also sourced from Pott, who was also based in Lausanne. MS1007 and catalogue information confirms attribution. Epitres, satires, contes, odes, et pieces fugitives  ",Belles-Lettres
"Certain Other Swiss editions Mémoires de Mad. la baronne de St. Lys 904; Mémoires de la baronne de St Lys; Mémoires de Mme le baronee de S. Lys; Mémoires de St. Lys.; Vie de la marquise St Lys NA NA French Société Typographique de Lausanne NA Lausanne Lausanne 1776 NA xxx, 193, [1] 224 1 NA 8 NA COPAC has Ce qui fait le bonheur: ou, Mémoires de Mme. de Bois-du-Lys / écrits par elle-même - but publised in 1794 Attribution - sourced from Lausanne in 1776, only extant edition located, catalogue information. Mémoires de Mme le baronee de S. Lys  ",Belles-Lettres
"Pseudo Place of publication unknown Voyage sentimental, par M. Sterne sous le nom d'Yorick 1427; 1428; Voyage de Stern; Voyage de Stern en France; Voyage sentimental; Voyage sentimental en France A Sentimental Journey Through France and Italy  English French NA NA n.pl. ? NA NA NA NA 1 2 NA NA NA Attribution - editions not identified, several produced. STN traded in at least two editions of this work, Fauche's (Neuchâtel, 1776) edition and an unidentified in-8° edition. Voyage sentimental, par M. Sterne sous le nom d'Yorick  ",Belles-Lettres
"Pseudo Place of publication unknown Oeuvres diverses de l'A*** L*** Oeuvres diverses, tant en prose qu'en vers, de l'A* L* (l'abbé Laurent) contenant: Le Balai, peome - La Chandelle d'Arras, poeme - L'Arretin moderne, 2 vol - Le Compere Mathieu, 3 vol - Imirce, 1 vol - Ensemble 8 vol NA NA French NA NA n.pl. ? 1775-1778 NA NA NA 8 NA 12 NA NA Attribution - only extant edition located. N.B. Appears in BPUN, Ms1231, 'Note Séparée': 'Oeuvres diverses, tant en prose qu'en vers, de l'A* L* [l'abbé Laurens] contenant: Le Balai, poeme - La Chandelle d'Arras, poeme - L'Arretin moderne, 2 vol - Le Compere Mathieu, 3 vol - Imirce, 1 vol - Ensemble 8 vol'.  Oeuvres diverses de l'A*** L***  ",Belles-Lettres
"Certain French editions Abrégé du dictionnaire de la langue françoise par Richelet Dictionnaire abrégé de la langue françoise par Richelet; Dictionnaire de Richelet NA NA French NA NA Rouen Rouen 1777 NA NA NA 1 NA 8 550 NA Attribution - details as given in MS1007 and STN Catalogue 1785, although extant copies of this edition not located.   Abrégé du dictionnaire de la langue françoise par Richelet  ",Belles-Lettres
"Pseudo Place of publication unknown Olivier, poème par M. Grosley Olivié; Olivier, poeme; Ollivier, poeme, par M. Grosley NA NA French NA NA n.pl. ? 1777 NA NA NA 1 NA 12 NA NA Attribution - details as given in manuscript information, but work not identified. Olivier, poème par M. Grosley  ",Belles-Lettres
"Pseudo Place of publication unknown Lettres et épîtres amoureuses d'Héloïse, avec les réponses d'Abeilard 782; 783; 784; 785; Lettres & épitres amouresues d'Héloïse et d'Abéilard; Lettres d'Héloïse à Abailard; Lettres et epitres amoureuses d'Heloise et d'Abeilard NA NA French NA NA n.pl. ? NA NA NA NA 2 NA NA NA NA Attribution - STN traded in four different editions of this work: (Paris, 1784) 2 pt in-18°, 2 volumes (London [Bruxelles], 1784) in-8°, 2 volumes (London [Rouen], 1784) in-8° and 2 volumes (Paraclet) in-12°. It has not always been possible from STN manuscripts to isolate which transactions relate to which editions. Lettres et épîtres amoureuses d'Héloïse  ",Belles-Lettres
Certain Place of publication unknown Recueil de chansons et poésies maçonnes Receuil de chansons; Recueil de chansons; Recueil de chansons & poesies maçonne NA NA French NA NA n.pl. ? 1782 NA NA NA 1 NA 12 NA Have assumed this short title is same as one Darnton refers to. Attribution - STN Catalogue 1785 information. Recueil de chansons et poésies maçonnes  ,Belles-Lettres
"Certain Other Swiss editions Histoire de Mlle de Morsan, ou l'Heureuse petite vérole 624; Histoire de Mademoiselle de Morsan; Histoire de morasn NA NA French François Grasset NA Lausanne Lausanne 1783 NA NA NA 1 NA 8 NA NA Attribution - only extant edition, sourced from Grasset, catalogue information. Histoire de Mlle de Morsan  ",Belles-Lettres
"Pseudo Place of publication unknown Bagatelle (la) du moment 111; Bagatelle du moment; Bagatelle d'un moment NA NA French NA NA n.pl. ? 1784 NA NA NA 1 NA 8 NA NA Attribution - details as given in Fauche-Borel Catalogue (1787) and MS1007, although extant copies of this edition not located. (Basle, 1785) edition is extant, and it is possible that the edition given here is that one, which may have been published in late 1784 with a 1785 imprint. Bagatelle (la) du moment  ",Belles-Lettres
"Certain Neuchâtel editions (non-STN) Princesse (la) infortunée, ou Histoire d'Auréli 100; Aureli & Alphonse; Aureli & Alphonse, ou la princesse infortuné; Aurelly; Princesse infortunée NA NA French S. Fauche NA Neuchâtel Neuchâtel 1785 NA [4], 92 96 1 NA 8 NA NA Attribution - sourced from Fauche from date of publication, catalogue information. Princesse (la) infortunée  ",Belles-Lettres
"Certain French editions Règles pour la prononciation des langues françoise et latin 1182; Regles pour la prononciation; Regles pour la prononciation de la langue françoise NA NA French Augustin-Martin Lottin NA Paris Paris 1761 NA viii, 239 247 1 NA 12 NA NA Attribution - Fauche-Borel Catalogue (1787) information. Règles pour la prononciation des langues françoise et latin  ",Belles-Lettres
"Certain Italian editions Nouveau Dictionnaire françois-italien Alberti; Dictionnaire (nouveau) françois italien, & italien françois, par l'abbé francois Alberti; Dictionnaire d'Alberti; Dictionnaire Italien; Dictionnaire italien et francois NA NA French NA NA Nice; Turin Nice; Turin 1778 NA NA NA 2 NA 4 NA NA Attribution - MS1007 and STN Catalogue information. Nouveau Dictionnaire françois-italien  ",Belles-Lettres
"Certain French editions Dictionnaire des richesses de la langue françoise, et du néologisme qui s'y est introduit: contenant les nouveaux & reçus, les nouvelles locutions, les tours figurés & brillants, les expressions de génie, les graces & les délicatesses dont la langue a été ornée & enrichie depuis le commencement du XVIIIe siecle; le tout, par des examples tirés des escrivians les plus estimés, & qui se sont distingués par l'élégance du style 314; Dictionnaire des Richesses de la langue françoise NA NA French Saugrain NA Paris Paris 1770 NA xiv, [2], 496 512 1 NA 8 NA NA Attribution - only extant edition located, Fauche-Borel Catalogue (1787) information. Dictionnaire des richesses de la langue françoise  ",Belles-Lettres
"Certain French editions Esprit (l') des journalistes de Trévoux, ou morceaux précieux de littérature, répandus dans les mémoires pour l'histoire des sciences & des beaux-arts, depuis leur origine en 1701, jusqu'en 1762: contenant ce qu'il y a de plus neuf & de plus curieux, soit pour les ouvrages dont ces littérateurs ont rendu compte, soit pour les réflexions judicieuses qui servent de préliminaire à leurs analyses   Esprit de Trevoux NA NA French Hansy, le jeune NA Paris Paris 1771 NA NA NA 4 NA 8 NA NA Attribution - only extant edition located. Esprit (l') des journalistes de Trévoux  ",Belles-Lettres
"Pseudo Place of publication unknown Lettres chinoises, ou Correspondance philosophique, historique, & critique, entre un Chinois voyageur & ses correspondans à la Chine, en Moscovie, en Perse & au Japon Lettres chinoises; Lettres chinoises, ou correspondance philosophique, historique et critique entre un chinois voyageur à Paris et ses correspondants à la Chine, en Moscovie, en Perse et au Japon, par l'autuer des Lettres juives et des Lettres cabalistiques NA NA French NA NA n.pl. ? NA NA NA NA 6 NA 12 NA NA Attribution - edition not identified, several produced. Lettres chinoises  ",Belles-Lettres
"Certain Dutch editions Lettres cabalistiques, ou Correspondance philosophique, historique et critique entre deux cabalistes, divers esprits élémentaires et le seigneur Astaroth Lettres cabalistiques NA NA French P. Paupie NA La Haye The Hague 1769-1770 NA NA NA 7 NA 12 NA NA Attribution - STN Catalogue 1779 information. Lettres cabalistiques  ",Belles-Lettres
"Pseudo Place of publication unknown Thérèse philosophe, ou mémoires pour servir à l'histoire du P. Dirag et de Mlle Eradice Therese philosophe NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA 60 NA Attribution - edition(s) not identified, numerous produced. Thérèse philosophe  ",Belles-Lettres
"Pseudo Place of publication unknown Dona Elmira, ou la fidélité à l'épreuve  345; Dona Elmira; Dona Elmira, ou la fidélité a l'Epreuve NA NA French NA NA n.pl. ? NA NA NA NA 1 NA 8 NA According to Dawson 1976, Baculard d'Arnaud, life and prose fiction (1975-1976), not by d'Arnaud as sometimes suggested  Only worldcat edition is Lausanne 1776 Attribution - editions not identified. STN traded in at least two editions, Fauche-Borel Catalogue (1787) gives (1784) in-8°.  N.B. The (Neuchâtel, Société Typographique, 1774) edition was not in fact published by the STN. Dona Elmira  ",Belles-Lettres
"Pseudo Place of publication unknown Nouvelles historiques 1608; Nouvelles d'Arnaud; Nouvelles historiques; Nouvelles historiques par d'Arnaud NA NA French NA NA n.pl. ? NA NA NA NA 3 NA 12 NA NA Attribution - edition(s) not identified, 3 volume sets. Nouvelles historiques  ",Belles-Lettres
"Pseudo Place of publication unknown Oeuvres dramatiques de M. d'Arnaud 977; Oeuvres d'Arnaud; Oeuvres dramatique d'arnaud NA NA French NA NA n.pl. ? 1781 NA NA NA 2 NA 12 NA NA Attribution - details as given in Fauche-Borel Catalogue (1787), although edition not located (possibly the Amsterdam, 1782 edition was intended?). Oeuvres dramatiques de M. d'Arnaud  ",Belles-Lettres
"Probable French editions Amans (les) malheureux, ou le Comte de Comminge, drame en trois actes et en vers 200; 35; Amants malheureux NA NA French NA NA Paris Paris 1774 NA 191 191 1 NA 8 NA NA Attribution - Fauche-Borel Catalogue (1787) information. Amans (les) malheureux  ",Belles-Lettres
Certain Dutch editions Mémoires turcs par un auteur turc de toutes les académies musulmanes  912; Mémoires Turcs NA NA French NA NA Amsterdam Amsterdam 1777 NA NA NA 1 2 12 NA 50 received from Regnault April 1777 Attribution - Fauche-Borel Catalogue (1787) information. Mémoires turcs  ,Belles-Lettres
"Certain Other Swiss editions Cabinet (le) des fées: ou collection choisie des contes des fées, et autres contes merveilleux 137; 138; 139; Cabinet des feés NA NA French P. Barde NA Geneva Geneva 1785-1789 NA NA NA 41 NA 12 NA NA Attribution - sourced from Barde, catalogue information. In 37 vols at time of Fauche-Borel Catalogue (1787). Cabinet (le) des fées  ",Belles-Lettres
"Certain French editions Histoire d'Hypolite, comte de Duglas  Histoire d'Hypolite; Histoire du duglas NA NA French Rollin NA Paris Paris 1756 NA NA NA 1 NA 8 36 NA Attribution - STN Catalogue 1779 information.  N.B. in the midst of this historical novel is a 'fairy tale' told by its central character which has some claims to be the original printed fairy tale. Histoire d'Hypolite, comte de Duglas  ",Belles-Lettres
"Certain Other Swiss editions Force (la) de l'éducation 516; Force (la) de l’education; force de l'education NA NA French Marc Chapuis NA Lausanne Lausanne 1762 NA XIV, 183 197 1 NA 8 NA NA Attribution - catalogue and MS1007 information. Force (la) de l'éducation  ",Belles-Lettres
"Pseudo Place of publication unknown Zephire et Flore: opera-comique  Zephire; Zephire & Flore NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition not identified, several produced. Zephire et Flore  ",Belles-Lettres
"Pseudo Place of publication unknown Venus dans le cloitre, ou La Religieuse en chemise Venus dans le cloitre NA NA French NA NA n.pl. ? NA NA NA NA 1 NA 12 15 NA Attribution - edition(s) not identified, numerous produced. Venus dans le cloitre  ",Belles-Lettres
"Pseudo Place of publication unknown Helviennes (les), ou lettres provinciales philosophiques  562; Helviennes; Helviennes (les), ou Lettre provinciales philosophiques NA NA French NA NA n.pl. ? NA NA NA NA 3 NA 12 NA NA Attribution - edition(s) not identified, several produced and STN sourced work from Rouen and Berne. Fauche-Borel catalogue shows copies sourced from Berne were the (Paris sous Amsterdam, 1785) in-12° edition. However,  it has not always been possible from STN manuscripts to isolate which transactions relate to which editions. Helviennes (les)  ",Belles-Lettres
"Pseudo Place of publication unknown Servante (la) maîtresse, comédie en 2 actes, mêlée d'ariettes parodiées de 'la Serva padrona', intermède italien Servante (la) maitresse avec les ? nottes; Servante maitresse NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition not identified, several produced. Sourced from Paris in 1776 so probably the (Paris, 1775) edition. Servante (la) maîtresse  ",Belles-Lettres
"Pseudo Place of publication unknown Folle (la) journée, ou le mariage de Figaro: comédie en cinq actes et en prose 853; 854; Mariage de Figaro NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA NA NA Attribution - edition(s) not identified. STN primarily traded in the (Lausanne, 1785) edition, although it is likely from source information that they also traded in other editions. Folle (la) journée, ou le mariage de Figaro  ",Belles-Lettres
