full_book_title,stated_publication_places,number_of_volumes,parisian_keyword
Lettres de Mme la marquise de Pompadour,n.pl.,1,Histoire
"Comptes faits, ou tarif général des monnoies",n.pl.,1,Science et Arts
"Arithmétique du Sr. Barrême: ou le livre facile pour apprendre l'arithmétique de soi-même, et sans maître",n.pl.,1,Science et Arts
"Venus dans le cloitre, ou La Religieuse en chemise",n.pl.,1,Belles-Lettres
"Histoire nouvelle et impartiale d'Angleterre, depuis l'invasion de Jules César, jusqu'aux préliminaires de la paix de 1763, traduite de l'anglois de J. Barrow",Paris,10,Histoire
"Helviennes (les), ou lettres provinciales philosophiques ",n.pl.,3,Belles-Lettres
Thomae Bartholini epistolarum medicinalium a doctis vel ad doctos scriptarum centuria,Hagae Comitum,1,Science et Arts
"Education (de l') des princes destinés au trône, par Mr. Basedow; traduit de l'allemand par Mr. de B*** ",Yverdon,1,Science et Arts
"Temple (le) des arts, ou le Cabinet de M. Braamcamp, par M. de Bastide",Amsterdam,1,Science et Arts
Ame (l') élevée à Dieu par les réflexions et les sentiments pour chaque jour du mois  ,Lyon,2,Théologie
"Servante (la) maîtresse, comédie en 2 actes, mêlée d'ariettes parodiées de 'la Serva padrona', intermède italien",n.pl.,1,Belles-Lettres
"Folle (la) journée, ou le mariage de Figaro: comédie en cinq actes et en prose",n.pl.,1,Belles-Lettres
[Justification de Beaumarchais (suite)],n.pl.,1,Jurisprudence
[Mémoires de Beaumarchais],n.pl.,1,Belles-Lettres
[Mémoires de Beaumarchais],Hollande,4,Belles-Lettres
"Traité des delits et des peines, traduit de l'Italien",n.pl.,1,Jurisprudence
"Mémoire sur l'usage de deux spécifiques pour les femmes grosses, J.C. Bechtel",Lausanne,1,Science et Arts
"Dissertation sur l'ergot ou bled cornu, par M. Beguillet",Dijon,1,Science et Arts
"Académie universelle des jeux: contenant les regles des jeux de cartes permis; celles du billard, du mail, du trictrac, du revertier, &c. &c. avec des instructions faciles pour apprendre à les bien jouer",Amsterdam,3,Science et Arts
"Lettres sur le désir de plaire, suivies de, ce que c'est que l'occasion, conte moral, par l'auteur des erreurs d'une jolie femme",n.pl.,1,Belles-Lettres
Ami (l') des enfans,n.pl.,1,Belles-Lettres
"Quadrille (le) des enfans, ou systême nouveau de lecture",Yverdon,1,Science et Arts
"Danger (le) d'aimer un étranger, ou, Histoire de mylady Chester et d'un duc françois",Geneva,2,Belles-Lettres
"Réflexions importantes sur les abus de la saignée, dans la plus part des maladies même dans celles ou elle paroit communément iadiquée",Amsterdam,1,Science et Arts
"Evénemens (les) nocturnes, ou les Nouvelles Méprises, comédies en 3 actes et en prose... par M. Bardinet",La Haye; Paris,1,Belles-Lettres
"Sermons de M. Hugh Blair, traduits de l'anglois sur la onzième édition par M. B. S. Frossard  ",Lausanne,6,Théologie
Contes de Boccace,n.pl.,1,Belles-Lettres
Hermanni Boerhaave... Methodus studii medici emaculata et accessionibus locupletata ab Alberto ab Haller,n.pl.,1,Science et Arts
"Hermanni Boerhaave libellus de materia medica et remediorum formulis, quae serviunt aphorismis de cognoscendis et curandis morbis ",n.pl.,1,Science et Arts
"Hermanni Boerhaave ... Praelectiones academicae de morbis nervorum, quas ex auditorum manuscriptis collectas edi curavit Jacobus van Eems",Francfort; Leipzig,2,Science et Arts
"Oeuvres de Boileau Despréaux, avec des éclaircissemens historiques donnés par lui-même & rédigés par M. Brossette",Amsterdam,5,Belles-Lettres
Oeuvres de M. Boindin,Paris,2,Belles-Lettres
"Nosologie méthodique... traduite du latin de M. Fr. Boissier de Sauvages... Ouvrage augmenté de quelques notes en forme de commentaire, par M. Nicolas",Paris,3,Science et Arts
"Oeuvres de Monsieur de Boissy, contenant son théâtre françois & italien",Amsterdam; Berlin,8,Belles-Lettres
"Lettre de Mylord Bolinbroke, servant d'introduction à ses Lettres philosophiques, à M. Pope",Yverdon,1,Science et Arts
"Palingénésie (la) philosophique, ou idées sur l'état passé et sur l'état futur des êtres vivants",Geneva,2,Science et Arts
Contemplation de la nature,Neuchâtel,3,Science et Arts
[Oeuvres de Bonnet],Neuchâtel,9,Science et Arts
[Oeuvres de Bonnet],Neuchatel,12,Science et Arts
Ecrits divers sur l'histoire naturelle & la philosophie de Bonnet,Neuchatel,1,Science et Arts
Essai de psychologie,Neuchatel,1,Science et Arts
"Cours de religion à l'usage des jeunes gens, par demandes et réponses",n.pl.,1,Théologie
"Minéralogie sicilienne docimastique et métallurgique, ou Connaissance de tous les minéraux que produit l'île de Sicile...; suivie de la Minérhydrologie sicilienne, ou la Description de toutes les eaux minérales de la Sicile / par l'auteur de la ""Lythologie sicilienne""",Turin,1,Science et Arts
Tableau philosophique du genre humain depuis l'origine du monde jusqu'à Constantin. Traduit de l'anglais,n.pl.,1,NA
Discours sur l'histoire universelle,Rouen,2,Histoire
"Observations sur les loix criminelles de France, par M. Boucher-d'Argis",Bruxelles,1,Jurisprudence
"Oeuvres diverses, en vers et en prose, de M. le chevalier de B**",n.pl.,1,Belles-Lettres
"Voyage autour du monde, par le frégate du roi ""La Boudeuse"", et la flûte ""L'Étoile"", en 1766, 1767, 1768 & 1769",Neuchâtel,2,Histoire
Amusement philosophique sur le langage des bêtes,Geneva,1,Science et Arts
Pensées ingénieuses des anciens et des modernes,n.pl.,1,Science et Arts
Manière de bien penser dans les ouvrages d'esprit,Paris,1,Science et Arts
"Repsima, essai d'une tragédie domestique",Lausanne,1,Belles-Lettres
Recherches sur l'origine du despotisme oriental,n.pl.,1,Histoire
Doutes sur la religion par Boulainvilliers,n.pl.,1,NA
"Nouveau (le) Newkastle, ou Nouveau traité de cavalerie",Lyon,1,Science et Arts
Description des Alpes pennines et rhétiennes,Geneva,3,Science et Arts
"Description des aspects du Mont-Blanc: du côté de la Val-d'Aost, des glacieres qui en descendent ...: présenté à sa Majesté le Roi de Sardaigne",Lausanne,1,Histoire
Conseils (les) de la sagesse: ou recueil des maximes de Salomon les plus nécessaires à l'homme pour se conduire sagement,Nancy,2,Théologie
"Trois (les) Fermiers, comédie en 2 actes en prose et mêlée d'ariettes, représentée pour la première fois par les Comédiens italiens ordinaires du Roi, le 16 mai 1777",Paris,1,Belles-Lettres
"Observations historiques et critiques sur les commentaires de Folard et sur la cavalerie, par le comte de Brézé,..",Turin,2,Science et Arts
"Essai sur les haras: ou, Examen méthodique des moyens propres pour établir, diriger & faire prospérer les haras. Suivi de deux courts traités. Dans l'un on montre une méthode facile de bien examiner les chevaux que l'on veut acheter afin de les choisir avec intelligence & n'être point trompé par les Maquignons. Dans l'autre on traite de la méchanique du mors, & on enseigne l'art de la bien assortir aux différentes bouches des chevaux ",Turin,1,Science et Arts
"Muses (les) helvétiennes, ou Recueil de pièces fugitives de l'Helvetie, en vers et en prose",Lausanne,1,Belles-Lettres
Danger (le) d'une première faute: histoire angloise,Bruxelles,1,Belles-Lettres
"Moeurs (les) angloises, ou Appréciation des moeurs et des principes qui caractérisent actuellement la nation britannique",La Haye,1,Histoire
"Dictionnaire raisonné universel des plantes, arbres et arbustes de la France",n.pl.,1,Science et Arts
"Amusemens des dames dans les oiseaux de volière, ou traité des oiseaux qui peuvent servir d'amusement au beau sexe",Paris,1,Science et Arts
"Choix des meilleurs médicamens pour les maladies les plus désespérées, recueilli par M. Buc'hoz",Paris,2,Science et Arts
Histoire des insectes,n.pl.,1,Science et Arts
Manuel usuel et économique des plantes,Paris,1,Science et Arts
Méthodes sures et faciles pour détruire les animaux nuisibles,Paris,1,Science et Arts
"Médecine domestique, ou traité complet des moyens de se conserver en santé ",Paris,5,Science et Arts
"Nature (la) considérée sous ses différens aspects, ou Journal des trois règnes de la nature... par M. Buc'hoz",Paris,5,Belles-Lettres
"Médecine des animaux domestiques, renfermant les différens remedes qui conviennent pour les maladies des chevaux, des vaches, des brebis, des cochons, de la volaille, des oiseaux de fauconnerie, des petits oiseaux ",Paris,1,Science et Arts
Histoire naturelle generale et particuliere,n.pl.,17,Science et Arts
Examen critique des apologistes de la religion chrétienne,n.pl.,1,Théologie
Principes du droit naturel et politique,n.pl.,1,Jurisprudence
Oeuvres de Miss Burney,Geneva,6,Belles-Lettres
Histoire amoureuse des Gaules,n.pl.,5,Belles-Lettres
Traité du luxe,Geneva,1,Science et Arts
"Sermons sur divers textes de l'Ecriture sainte, par Gaspar Caillard",Lausanne,2,Théologie
Lusiade (la) de Camoëns; trad. poétique avec des notes historiques et critiques par Mr. de La Harpe,London,1,Belles-Lettres
"Nouveau (le) Robinson, pour servir a l'amusement et a l'instruction des enfans",Paris,1,Belles-Lettres
Langage (le) de la raison,Avignon,1,Théologie
"Univers (l') énigmatique, par le marquis Caraccioli, colonel au service du roi de Pologne, electeur de Saxe",n.pl.,1,Théologie
[Traité de physique]  cahier 1: Du déplacement des mers,Geneva,1,Science et Arts
"Voyage dans les parties intérieures de l'Amérique septentrionale, pendant les années 1766, 1767 et 1768",Yverdon,1,Histoire
"Candide anglois, ou Avantures tragi-comiques d'Amb. Gwinett avant et dans ses voyages aux deux Indes",Francfort; Leipsic,2,Belles-Lettres
Observations sur le livre intitulé Système de la nature,Berlin,1,Théologie
Confidences (les) réciproques: ou anecdotes de la société de Madame la comtesse de B***,London,1,Belles-Lettres
"Histoire d'Eric XIV, roi de Suede",Paris,2,Histoire
"Histoire de l'admirable Don Quichotte de la Manche, traduite de l'espagnol de Michel de Cervantes. Nouvelle édition revue, corrigée et augmentee",Lyon,6,Belles-Lettres
Lettres Neuchâteloises,Amsterdam,1,Belles-Lettres
Voyage de M. le chevalier de Chastellux en Amérique,n.pl.,1,Histoire
"Imposteurs (les) démasqués et les usurpateurs punis, ou Histoire de plusieurs aventuriers qui ayant pris la qualité d'empereur, de roi, de prince, d'ambassadeur, de tribun, de messie, de prophète, etc., ont fini leur vie dans l'obscurité ou par une mort violente",Paris,1,Histoire
"Grands (les) hommes vengés, ou Examen des jugements portés par M. de V. et par quelques autres philosophes sur plusieurs hommes célèbres, avec un grand nombre de remarques critiques... par Monsieur des Sablons",Lyon,2,Science et Arts
"Abrégé portatif de l'histoire universelle sacrée et profane pour l'instruction de la jeunesse, par l'abbé Perrin de Chavanette",Paris,3,Histoire
"Journal d'un voyage de Genève à Londres, en passant par la Suisse, entremêlé d'avantures tragiques",Geneva,1,Histoire
"Colporteur (le), histoire morale par Monsr. de Chevrier",n.pl.,1,NA
"Dictionnaire abrégé de la Bible: pour la connoissance des tablaux historiques tirés de la Bible même, & de Flavius Josephe",Liège; Paris,1,Théologie
"Dictionnaire abrégé de la fable, pour l'intelligence des poëtes, des tableaux & des statues, dont les sujets sont tirés de l'histoire poétique",Rouen,1,Histoire
"Academie (l') des dames, ou les sept entretiens galants d'Alosia",n.pl.,2,Belles-Lettres
Oeuvres de Ciceron,Paris,4,Science et Arts
"Vieillesse (de la), par M. Robert ",Paris,1,Science et Arts
"Principes du droit naturel, traduit de l'allemand",Lausanne,1,Jurisprudence
"Voyage d'Italie, ou Recueil de notes sur les ouvrages de peinture et de sculpture, qu'on voit dans les principales villes d'Italie par Charles Nicolas",Lausanne,3,Histoire
Chansons qui n'ont pu être imprimées et que mon censeur n'a point du me passer,n.pl.,1,Belles-Lettres
"Esprit (l') du Judaïsme, ou Examen raisonné de la loi de Moÿse, et de son influence sur la religion chrétienne",London,1,Histoire
"Commerce (le) et le gouvernement considérés relativement l'un à l'autre, ouvrage élémentaire, par M. l'abbé de Condillac",Paris,2,Science et Arts
"Cours d'étude pour l'instruction du prince de Parme, aujourd'hui S.A.R. l'infant D. Ferdinand, duc de Parme, Plaisance, Guastalle, etc. etc. etc.",Geneva,12,Belles-Lettres
"Mari sentimental, ou le Mariage comme il y en a quelques-uns. Lettres d'un homme du pays de Vaud, écrites en 1783",n.pl.,1,Belles-Lettres
"Principes de la philosophie morale, ou essai de M.S*** sur le mérite et la vertu, avec des réflexions",n.pl.,1,Science et Arts
Oeuvres de Pierre et Thomas Corneille,n.pl.,12,Belles-Lettres
Voyages d'Italie et de Hollande,London,2,Histoire
"Commentaire sur le code criminel d'Angleterre, traduit de l'anglois de Guillaume Blackstone... par M. l'abbé Coyer",Paris,2,Jurisprudence
"Hazard (le) du coin du feu, dialogue moral",n.pl.,1,Belles-Lettres
Lettres de la duchesse de *** au duc de ***,Maestricht,1,Belles-Lettres
Lettres de la Marquise de M... au Comte de R,Maestricht,1,Belles-Lettres
Amours (les) de Zeokinizul roi des Kofirans. Ouvrage traduit de l'arabe du voyageur Krinelbol,Constantinople,1,Belles-Lettres
"Lettres d'un cultivateur américain, écrites à W. S. Ecuyer, depuis l'année 1770, jusqu'à 1781,  traduites de l'anglois ***",Maestricht,2,Histoire
"Histoire des empereurs romains, depuis Auguste jusqu'à Constantin, par M. Crevier",Paris,12,Histoire
"Sage (le) dans la solitude, ou méditations religieuses sur divers sujets ",n.pl.,1,Théologie
"Eloge de Claude Joseph Dorat, suivie de poésies qui lui sont relatives, d'une apologie de Colardeau, d'un dialogue intitulé: Gilbert et une Furie, de la Vengeance de Pluton, ou suite des Muses rivales, Ouvrage Dramatique en Vers & en Prose, et de quelques pieces détachée",Paris,1,Belles-Lettres
"Nouvelles (les) de Marguerite, reine de Navarre / Heptameron françois",Berne,3,Belles-Lettres
Zélie dans le désert,n.pl.,2,Belles-Lettres
Dissertation sur la figure de la terre,n.pl.,1,Histoire
"Corps d'extraits de romans de chevalerie, par M. le Cte de Tressan",Paris,4,Belles-Lettres
"Instructions pour la jeunesse, par M. le Marquis de Wargemont",Basle,1,Undetermined
"Lettres sur la Sicile et sur l'île de Malthe, de M. le Cte de Borch à M. le C. de N., écrites en 1777 pour servir de supplément au ""Voyage en Sicile et à Malthe"" de M. Brydonne",Turin,2,Histoire
Leçons (les) de la sagesse sur les défauts des hommes,Paris,3,Science et Arts
"Histoire d'un pou françois; ou L'espion d'une nouvelle espece, tant en France qu'en Angleterre",Paris,1,Histoire
"Jardins (les), ou L'art d'embellir les paysages: poème",Lausanne,1,Belles-Lettres
"Amours de Théagènes et Chariclée, histoire éthiopique",Paris,2,Belles-Lettres
"Révolutions d'Italie, traduites de l'italien de M. Denina par M. l'Abbé Jardin",n.pl.,1,Histoire
"Bibliopea, o sia l'Arte di compor libri, di Carlo Denina",Turin,1,Belles-Lettres
Essai sur la marine et sur le commerce. Par Mr. D****. Avec des remarques historiques & critiques de l'auteur,London,1,Science et Arts
"Oeuvres de Destouches, nouvelle édition augmentée & refondues sur toutes celles qui ont paru jusqu'à ce jour, avec le portrait de l'auteur",Rouen,10,Belles-Lettres
Lettre sur les aveugles à l'usage de ceux qui voient,n.pl.,1,NA
Cours d'opérations de chirurgie: démontrées au Jardin du roi,Paris,1,Science et Arts
"Commencemens (les) et les progrès de la vraie piété, ou Exposition des différens états dans lesquels un chrétien peut se trouver par rapport au salut; avec des méditations ou des prières convenables au sujet de chaque chapitre, par P. Doddridge ...; trad. de l'anglois par J.S. Vernède ",Bienne,1,Théologie
"Manuel de tous les ages, ou Économie de la vie humaine",London,1,Science et Arts
[Contes de Dorat],n.pl.,1,Belles-Lettres
"Sacrifices (les) de l'amour, ou Lettres de la Vicomtesse de Senanges, et du chevalier de Versenai",n.pl.,1,Belles-Lettres
"Epître a l'ombre d'un ami, suivie de deux odes, & de quelques idées sur Corneille",Paris,1,Belles-Lettres
"Malheurs (les) de l'inconstance, ou Lettres de la marquise de Syrcé et du comte de Mirbelle  ",Rouen,1,Belles-Lettres
"Porte-feuille (le) d'un philosophe, ou Mélange de pièces philosophiques, politiques, critiques, satyriques et galantes, etc. d'après une note ms",Cologne,6,Science et Arts
Etrennes aux gens d'église ou la chandelle d'Arras,n.pl.,1,Belles-Lettres
"Balai (le), poème héroï-comique en XVIII chants",n.pl.,1,Belles-Lettres
"Imirce, ou la Fille de la nature",London,1,Belles-Lettres
"Mélanges historiques, politiques, critiques, et philosophiques",Paris,2,Histoire
"Mémoires de monsieur Du Guay-Trouin, lieutenant-général des armées navales, commandeur de l'ordre royal & militaire de S. Louis .Augmentés de son éloge par M. Thomas",Rouen,1,Histoire
"Institution d'un prince, ou traité des qualitez des vertus et des devoirs d'un souverain",London,2,Science et Arts
Esprit (l') du citoyen,Neuchâtel,1,Science et Arts
"Sermons nouveaux pour les principales solemnités chretiennes, par M. Durand",Lausanne,4,Théologie
"Année (l') évangélique, ou sermons pour tous les dimanches et fêtes de l'année chrétienne",Berne; Lausanne,7,Théologie
"Henri IV, drame lyrique en 3 actes et en prose, par M. de Rozoy",n.pl.,1,Belles-Lettres
"Dictionnaire géographique portatif, ou description des royaumes, provinces, villes, patriarchats, évêchés, duchés, comtés, marquisats, villes impériales et anséatiques, ports, forteresses, citadelles, et autres lieux considérables des quatre parties du monde",n.pl.,1,Histoire
"Conversations d'Emilie (les), ou entretiens instructifs et amusants d'une mère avec sa fille",Lausanne,2,Science et Arts
Lacunes (les) de la philosophie,Amsterdam; Paris,1,Science et Arts
"Anecdotes du séjour du roi de Suède à Bender, ou Lettres de M. le Bon de Fabrice pour servir d'éclaircissement à l'histoire de Charles XII",Hambourg,1,Histoire
Histoire du cardinal de Polignac,Paris,2,Histoire
Description des experiences de la machine aerostatique de M.M. de Montgolfier,n.pl.,1,Science et Arts
Quatre (les) heures de la toilette des dames: poëme érotique en quatre chants,Geneva; Paris,1,Belles-Lettres
"Direction pour la conscience d'un roi, ou Examen de conscience sur les devoirs de la royauté",Paris,1,Science et Arts
Institutions de philosophie morale,Geneva,1,Science et Arts
"Instructions importantes au peuple sur les maladies chroniques: pour servir de suite à l'""Avis au peuple"" de M. Tissot, sur les maladies aiguës",n.pl.,2,Science et Arts
Oeuvres de Fielding ,Geneva,14,Belles-Lettres
Amélie Booth: histoire angloise,Geneva,3,Belles-Lettres
Avantures de Joseph Andrews,Geneva,2,Belles-Lettres
"Tom Jones, ou l'enfant trouvé ",Geneva,3,Belles-Lettres
Jonathan Wild le Grand,Geneva,1,Belles-Lettres
"Julien l'Apostat, ou voyage dans l'autre monde",Geneva,1,Belles-Lettres
"Orpheline (l') angloise, ou Histoire de Charlotte Summers ",n.pl.,1,Belles-Lettres
Vie (la) de David Simple,Geneva,2,Belles-Lettres
"Atlas céleste de Flamstéed; approuvé par l'académie royale des sciences; et publié sous le privilège de cette compagnie par M. J. Fortin, ingénieur-mécanicien du Roi et de la famille royale, pour les globes et sphères  ",Paris,1,Science et Arts
"Recueil des oraisons funèbres, prononcées par M. Esprit Fléchier... et par M. Jacques-Bénigne Bossuet",Rouen,2,Théologie
"Nouveau (le) Werther, imité de l'allemand",Verrières,1,Belles-Lettres
Traité du choix de la methode des etudes,Nismes,1,Science et Arts
Moeurs (les) des Israélites,n.pl.,1,Histoire
Six (les) nouvelles de M. de Florian,Lausanne,1,Belles-Lettres
Numa Pompilius,n.pl.,1,Belles-Lettres
Oeuvres complètes de Florian,Paris,6,Belles-Lettres
Voyageur (le) plaisant,London,1,Histoire
Contes et nouvelles en vers de M. de la Fontaine,n.pl.,2,Belles-Lettres
Oeuvres de la Fontaine,Amsterdam,4,Belles-Lettres
"République (la) des philosophes, ou histoire des ajaciens, ouvrage posthume de M. de Fontenelle",n.pl.,5,NA
Sermons pour les jeunes dames et les jeunes demoiselles,Maestricht,2,Théologie
"Abrégé de toutes les sciences, à l'usage des enfans",n.pl.,1,Science et Arts
"Encyclopédie des enfans, ou abrégé de toutes les sciences à l'usage des jeunes gens",n.pl.,1,Science et Arts
"Richardet, poème",n.pl.,2,Belles-Lettres
"Batilde, ou l'Héroïsme de l'amour, drame en 5 actes et en vers, par M. Dysembart de La Fossardrie",Tournai,1,Belles-Lettres
Enfans (les) élevés dans l'ordre de la nature,Paris,1,Science et Arts
Manuel typographique... par Fournier le jeune,Paris,2,Science et Arts
"Histoire de la passion de notre Seigneur Jésus-Christ: ouvrage de littérature sacrée, et de dévotion, par Jacob Francillon, pasteur à Genève",Geneva,1,Théologie
"Putain (la) errante, ou Entretiens de Magdelon et de Julie",n.pl.,1,Belles-Lettres
"Edelzinde, fille d'Amalazonte, reine des Goths",n.pl.,2,Belles-Lettres
Oeuvres de M. Fréret,n.pl.,1,Science et Arts
"Histoire de mademoiselle Cronel, dite Frétillon actrice de la Comédie de Rouen, écrite par elle-même ",La Haye,4,Belles-Lettres
"Art (l') de conserver les grains, par Barthélemy Inthiery, ouvrage traduit de l'italien par les soins de M. D. N. E.",Paris,1,Science et Arts
"Nouveau (le) parfait maréchal, ou la connoissance générale et universelle du cheval",n.pl.,2,Science et Arts
Histoire (l') poétique pour l'intelligence des poètes et des auteurs anciens,n.pl.,1,Histoire
[Oeuvres de Mme Genlis],n.pl.,16,Belles-Lettres
Amant (l') anonyme: comédie en cinq actes,n.pl.,1,Belles-Lettres
"Adèle et Théodore ou Lettres sur l'éducation, contenant tous les principes relatifs aux trois différens plans d'éducation des princes, des jeunes personnes, & des hommes  ",n.pl.,3,Belles-Lettres
"Bal d'enfans ou le duel, comédie en deux actes",n.pl.,1,Belles-Lettres
"Catéchisme de morale, spécialement à l'usage de la jeunesse, contenant les devoirs de l'homme et du Citoyen, de quelque religion et de quelque nation qu'il soit",Bruxelles; Paris,1,Science et Arts
"Cloison (la), comédie en un acte",n.pl.,1,Belles-Lettres
"Curieuse (la), comédie en cinq actes",n.pl.,1,Belles-Lettres
"Méchant par air, comédie en cinq actes",n.pl.,1,Belles-Lettres
Mère (la) rivale. Comédie en cinq actes,n.pl.,1,Belles-Lettres
"Veillées (les) du château, ou Cours de morale à l'usage des enfants ",n.pl.,4,Belles-Lettres
"Comte (le) de Valmont, ou les Égaremens de la raison, lettres recueillies et publiées par M. ",Paris,5,Belles-Lettres
Idylles et Poëmes Champetres de M. Gessner,Lyon,1,Belles-Lettres
"Vrais (les) principes du gouvernement françois démontrés par la raison et par les faits, par un François",Geneva,1,Science et Arts
Thémidore,n.pl.,1,Belles-Lettres
Leiden (die) des jungen Werthers,n.pl.,1,Belles-Lettres
"Ministre (le) de Wakefield, histoire supposée écrite par lui-même ",n.pl.,1,Belles-Lettres
Journées (les) amusantes,Amsterdam,8,Belles-Lettres
Nouveau voyage sentimental,n.pl.,1,Belles-Lettres
"Ane (l') promeneur, ou Critès promené par son ane; chef-d'oeuvre pour servir d'Apologie au goût, aux moeurs, à l'esprit, et aux découvertes du siècle. Première edition revue, corrigée, et précédée d'une préface à la mosaïque, dans le plus nouveau goût",Pampelune; Paris,1,Belles-Lettres
"Théologie (la) de l'Écriture sainte, ou la Science du salut, comprise dans une ample collection de passages du Vieux et du Nouveau Testament",La Haye,2,Théologie
Maître de la langue allemande ou nouvelle Grammaire allemande... composée sur le modèle des meilleurs auteurs de nos jours et principalement sur celui de M. le Prof. Gottsched,En Suisse,1,Belles-Lettres
Tableau de la monarchie française,n.pl.,1,Histoire
"Espion (l') français à Londres, ou observations critiques sur l'Angleterre et sur les anglais, par M. le chevalier Goudard",London,2,Histoire
"Espion (l') chinois, ou l'envoyé secret de la cour de Pékin pour examiner l'Etat présent de l'Europe",Cologne,6,Belles-Lettres
Brigandage (le) de la musique italienne,n.pl.,1,Science et Arts
Lettres iroquoises,n.pl.,2,NA
"Muse (la) d'un théologien du Mont-Jura, ou Recueil de petites poésies et d'opuscules d'un docteur en théologie, Par Mr L'Abbé Gr*** ",Lausanne,1,Belles-Lettres
Oeuvres [de Gresset],Rouen,2,Belles-Lettres
"Histoire des conquêtes de Gustave-Adolfe, roi de Suède, en Allemagne ou Campagnes de ce monarque en 1630, 1631, 1632, précédées d'une introduction contenant l'origine & le commencement de la guerre de Trente ans",Neuchâtel,1,Histoire
"Isle (l') inconnue, ou Mémoires du chevalier Des Gastines",Paris,4,Belles-Lettres
"Baquet (le) magnetique, comédie, en vers et en deux actes. Par Mr. P.G.",London,1,Belles-Lettres
"Leçons philosophiques, ou le Germe des connaissances humaines dans ses premiers développements, par M. l'abbé Guinot.",Nancy,2,Science et Arts
"Gentilhomme (le) cultivateur, ou corps complet d'agriculture, traduit de l'anglois de M. Hale, et tiré des auteurs qui ont le mieux écrit sur cet art, par Monsieur Dupuy Demportes",Bordeaux; Paris,10,Science et Arts
Conseils d'un homme de qualite a sa fille,Lausanne,1,Science et Arts
"Caelii Aureliani ... Acutorum morborum libri tres; chronicorum libri quinque, edidit, recensuit praefatus est Albertus v. Haller; indicem emendavit ac multum auxit P.R. Vicat ",Lausanne,1,Science et Arts
Lettres sur les vérités les plus importantes de la révélation,Yverdon,1,Théologie
Alberti von Haller … Primae lineae physiologiae,Lausanne,1,Science et Arts
"Sur la formation du coeur dans le poulet: sur l'oeil, sur la structure du jaune etc.",Lausanne,2,Science et Arts
"Deux mémoires sur le mouvement du sang, et sur les effets de la saignée: fondés sur des expériences faites sur des animaux",Lausanne,1,Science et Arts
Opuscula pathologica partim recusa partim inedita,n.pl.,1,Science et Arts
De Respiratione experimenta anatomica,n.pl.,1,Science et Arts
Briefe über die wichtigsten Wahrheiten der Offenbarung,n.pl.,1,Théologie
Mémoires sur la nature sensible et irritable des parties du corps animal,Lausanne,4,Science et Arts
"Description courte et abrégée des salines du gouvernement d'Aigle, mise au jour par ordre souverain par Mr. de Haller; trad. en français par feu Mr. de Leuze",Yverdon,1,Science et Arts
"Usong, histoire orientale, par le Bon de Haller... Traduit de l'allemand par M. S. de C",Lausanne,1,Belles-Lettres
"Usong, histoire orientale, par le Bon de Haller",Francfort,1,Belles-Lettres
Village (le) de Munster. Nouvelle. Traduction de l'anglois ,Paris; Rotterdam,2,Belles-Lettres
Histoire universelle: sacrée et profane,n.pl.,1,Histoire
"Considération sur la dénonciation de l'agiotage: lettre au comte de Mirabeau, le 27 mars 1787",n.pl.,1,Science et Arts
Causes (les) du désordre public par un vrai citoyen,Avignon; Paris,1,Science et Arts
"Recettes pour les maladies des chevaux recueillies des plus habiles écuyers, et des maréchaux les plus experts d'Italie",Lausanne,1,Science et Arts
Etourdi (l'),Bruxelles,1,Belles-Lettres
Tablettes des postes de l'empire d'Allemagne et des provinces limitrophes,Manheim,1,Science et Arts
Nouveau parlement francois & allemand à l'usage des deux nations = Kurze Anleitung zur französischen und deutschen Sprache zum Gebrauche beider Nationen,Colmar,1,Belles-Lettres
"Amans (les) vertueux, ou Lettres d'une jeune dame écrites de la campagne à son amie de Londres",Lausanne,2,Belles-Lettres
"Traité des maladies les plus fréquentes et des remèdes spécifiques pour les guérir, avec la méthode de s'en servir par M. Helvetius",Paris,2,Science et Arts
Esprit (de l'),n.pl.,2,Science et Arts
"Vrai (le) sens du système de la nature, ouvrage posthume de M. Helvétius",n.pl.,1,Science et Arts
Oeuvres,n.pl.,4,Science et Arts
Oeuvres complètes,London,5,Science et Arts
Bibliothèque orientale,Hollande,2,Belles-Lettres
"Littérature (de la) allemande: des défauts qu'on peut lui reprocher, quelles en sont les causes et par quels moyens on peut les corriger",Neuchâtel,1,Belles-Lettres
Discours sur l'état actuel de la politique et de la science militaire en Europe,Paris,1,Science et Arts
"Nature (de la) humaine, ou exposition des facultés, des actions & des passions de l'ame",London,1,Science et Arts
Friderici Hoffmanni Medicina consultatoria,n.pl.,1,Science et Arts
"Théologie portative, ou dictionnaire abrégé de la religion chrétienne",n.pl.,1,Théologie
Contagion (la) sacrée,n.pl.,1,Science et Arts
Cruauté (de la) religieuse,n.pl.,1,Histoire
"David, ou L'histoire de l'homme selon le cœur de Dieu",n.pl.,1,Théologie
"Politique (la) naturelle, ou discours sur les vrais principes du gouvernement par un ancien magistrat",London,2,Science et Arts
"Tableau des saints, ou examen de l'esprit, de conduite, des maximes et du mérite des personnages que le christianisme révère et propose pour modèles",n.pl.,2,NA
Antiquité (l') dévoilée par ses usages,n.pl.,1,Histoire
Christianisme (le) dévoilé: ou Examen des principes et des effets de la religion chrétienne,n.pl.,1,Théologie
"Poésies (les) d'Horace, traduites en françois par Mr. l'abbé Batteux ",Paris,1,Belles-Lettres
